,PC1,PC2,PC3,PC4
"Congo, Rep.",-0.3921384313651642,0.20213517507170975,-0.2886890316249398,0.05803250349981972
Costa Rica,0.23640676125592827,-0.1942950673291088,0.178421774113262,-0.11350153914210713
Cote d'Ivoire,-0.5739691560831601,0.1831648202898713,-0.030104344965408574,0.0011345764955651835
Croatia,0.2650144432355152,-0.15530616709127587,0.021306077048369638,-0.025399821849766982
Cyprus,0.40488013781981086,0.016648396815077057,-0.06993313001576971,0.05377667251191175
Czech Republic,0.3626856019519436,0.01439448356313981,-0.04914478493179335,-0.10156805748432894
Denmark,0.5105399799986363,0.18525831146590926,0.31544586561670124,0.05328873814410948
Dominican Republic,0.00957369430203085,-0.16573423460377826,-0.004474581985713562,0.04052832981407015
Ecuador,0.05395995149678743,-0.1748119870491725,0.06943505988835662,-0.01704417935962685
Egypt,-0.09865431108665279,-0.16734251042284304,-0.06439253314792771,0.11533267107823904
El Salvador,0.07092179321796037,-0.18607666243595183,-0.026767993661254968,-0.06859969935806307
Equatorial Guinea,-0.38798839615440145,0.45514650091526565,-0.11312680175481374,0.1298004578370435
Eritrea,-0.42124556726533635,-0.11361267592041141,-0.08477023310560154,0.19431503533752348
Estonia,0.29067168111833264,0.019593438329169297,-0.1809448679438924,-0.09585172666684573
Fiji,-0.031107783787834888,-0.02337295756518982,-0.20367561283683416,-0.1015877983203455
Finland,0.43776020210563527,0.06678322287443308,0.19410305032586422,0.11226466645574763
France,0.4164146415182648,-0.0016351853353268589,0.3636002063627312,0.04658318586683329
Gabon,-0.27613030106738906,0.0627382903985405,-0.1204667334658694,0.19945303677445564
Gambia,-0.48973168952192525,0.0725593454564057,0.03892638000455201,0.04340967964557836
Georgia,0.12798263729298617,-0.1669274902501462,0.08695672604648334,-0.2035023002339713
Germany,0.49096510196033827,0.03720797802562875,0.29084602677865584,0.0023481652787752535
Ghana,-0.37608885572213174,0.016990883216660552,-0.04707107792631564,0.02270409362196838
Greece,0.37809965319758587,-0.12977840069988802,0.2302371256179583,0.009069676515920026
Grenada,0.07644149860020623,-0.15817236349801217,-0.06353255399949431,-0.030509779185864845
Guatemala,-0.10013496920566015,-0.12037731835183313,0.026349737269133665,-0.0026560504473610498
Guinea,-0.5962174429893381,0.12361252349992644,-0.015190365195745941,0.053865857366885796
Guinea-Bissau,-0.5779248168494964,0.076267212466575,0.20310701715667487,-0.05724308097579913
Guyana,-0.05987286592601822,0.0066851952673846055,-0.1897318615625843,-0.166583486683844
Haiti,-0.8363862705231492,0.23301511895405835,0.0674948617015361,-0.20652704465200364
Hungary,0.33096357775018814,0.027138707640432295,-0.161864523178451,-0.19230233567289795
Iceland,0.4240775777017765,0.10609822228112636,0.17024147179294827,0.07258792239400465
India,-0.17037830303188475,-0.17020478522225638,-0.10602110476606676,0.08511752005564052
Indonesia,-0.07200362046638976,-0.21190124472665317,-0.18221110005921606,0.17941594858305557
Iran,0.1197300034614378,-0.23911594380817822,-0.04311966102165821,0.12444930676263273
Iraq,-0.20952202578426687,0.01949573148355933,0.11424271286628226,0.008328804382336958
Ireland,0.5274460071080209,0.3704888918645321,0.012797005658741418,-0.10294647573125683
Israel,0.24823305569699408,0.00618085208807962,0.12554469906551474,0.1355031459107891
Italy,0.4325744825044996,-0.07232825032713021,0.223164878485956,0.09432235762267248
Jamaica,0.07650104644178088,-0.17392509691997257,-0.14423263091654778,0.003780950726596871
Japan,0.4633584620428899,-0.09696990020073819,0.28933514057104226,0.17405855080935123
Jordan,-0.0035600264464181654,0.006835796438984772,-0.012949979715275716,-0.13985300272802717
Kazakhstan,0.011199595320952202,-0.0839643668946452,-0.13335758435120793,0.13904610687357596
Kenya,-0.35904273531133574,-0.04891148433822089,-0.028228767390991946,0.060333501348549715
Kiribati,-0.2596553927519397,0.03234199362395615,0.2106726962110443,-0.3253497465988307
Kuwait,0.3957758163902334,0.21412016797420544,-0.15166542826031099,0.4215030797089999
Kyrgyz Republic,-0.06689228935256035,0.0025623714723481635,-0.15710291485008712,-0.18858835085266643
Lao,-0.2635517224628559,-0.02508408581439337,-0.12565316758169975,-0.008399573091665535
Latvia,0.2527443757413566,-0.09723041590549024,-0.10347090461843395,-0.09476799369694926
Lebanon,0.25638487229957724,-0.14427862035983594,-0.060083132199747605,-0.09125808948692848
Lesotho,-0.3857155015584067,0.19898337844826303,0.11218165655492539,-0.46196971575180806
Liberia,-0.4212670584114023,0.17229867807348442,0.24095481089846257,-0.3535591069883368
Libya,0.16163536885430826,-0.001426757000390843,-0.2057905627588456,0.13302488194050616
Lithuania,0.27003869131976527,-0.023940019354682988,-0.12472812078561162,-0.13877568588564143
Luxembourg,0.9412939924726446,1.0369031614705908,-0.117542762506051,-0.010040776481929168
"Macedonia, FYR",0.1960723176008577,-0.16740658499447955,-0.0824476953650244,-0.1343054872014227
Madagascar,-0.4063568179312003,-0.007617194079024538,-0.1003515364574652,0.06343296786156218
Malawi,-0.5854689657395733,0.07673091803281562,0.08544699202130022,0.01031964890046042
Malaysia,0.20279801590874516,0.051180511051182175,-0.2945559574075632,-0.06519015025934206
Maldives,0.18814022366874372,-0.018498768875535174,-0.1763828272968328,-0.13211290532660835
Mali,-0.7560836209347954,0.19534715395639304,0.0699590014573855,0.10813607883705054
Malta,0.5147457120770217,0.42028423858605457,-0.3412553411056415,-0.5071481827754092
Mauritania,-0.42601227963912414,0.1554457747363985,-0.1243175315232707,0.020258561629644144
Mauritius,0.19700164353745986,-0.09038832565466998,-0.14674340447493858,-0.10102273594766197
"Micronesia, Fed. Sts.",-0.09390392690392113,0.012079439881174327,0.31268750868826645,-0.4177626124353489
Moldova,0.1748209942068521,-0.13817943066987579,0.08687887766228362,-0.3821888958289302
Mongolia,-0.06437252358612189,-0.06933816494341798,-0.16217221081775032,-0.015580133837950311
Montenegro,0.22757153046449224,-0.1337202449051722,0.02805688979798097,-0.18415563137157956
Morocco,-0.007829789180747934,-0.15079616612177713,-0.09859982699992499,-0.004128609177099823
Mozambique,-0.61627757352232,0.14352232632868483,-0.0038886123777232455,0.009881196431664803
Myanmar,-0.21172988495630443,-0.2986136005285028,-0.11894776221487045,0.257336726340141
Namibia,-0.23024123155896928,0.07804855064658164,-0.039608847956876046,-0.1252954975479459
Nepal,-0.13663045679082583,-0.2089014970477289,-0.05039773321985125,0.03395844567481573
Netherlands,0.5394099826515576,0.24472402723768721,0.24041714715005635,-0.07428780135157075
New Zealand,0.3471664786551842,-0.03276601687103482,0.24988741214721186,0.07469744449023545
Niger,-0.8088184692474698,0.2585783067269945,0.07381980501387904,0.06795855438318128
Nigeria,-0.7407228826991712,0.12420600329154746,0.031515747344932316,0.35759126652123874
Norway,0.6247482827023401,0.3147309890197684,0.3682175669539799,0.3323034946823978
Oman,0.18014260903823137,0.09925150333902612,-0.2180640726437869,0.2552819640838562
Pakistan,-0.3973298833393519,-0.09496230349101697,-0.11619554276036347,0.218209435369053
Panama,0.1668537852552201,0.04995774499115418,-0.07815465358804678,-0.1977278772229627
Paraguay,0.033739648988346124,-0.07749538528202442,-0.1269747561749907,-0.05841361062829178
Peru,0.06103863446371332,-0.2159652143717932,-0.06334917550054957,0.10703939589635879
Philippines,-0.11467801783145014,-0.12580071065897852,-0.15952853259000208,0.07068449463948735
Poland,0.2785837877848749,-0.14727613959870803,-0.010904944827085887,-0.031817831632288386
Portugal,0.37896253067980556,-0.1229303177765249,0.22096529539510157,-0.06577254674507155
Qatar,0.6386728672340584,0.47893855831126403,-0.052387598273409115,0.7097307904080312
Romania,0.17896186400656303,-0.18527558682896567,-0.09072882262736194,0.023540524379809975
Russia,0.14392968480088977,-0.19743645212962213,-0.07496297614495925,0.1346957700592564
Rwanda,-0.3257434556342828,-0.061801072947555366,0.27719480835259097,-0.09651601187940888
Samoa,-0.13750602491724204,-0.044064894513657235,-0.006618408438186262,-0.03669900736357001
Saudi Arabia,0.15119100849618455,0.059278787829184186,-0.09581057871288483,0.25333118084458656
Senegal,-0.4080563416353287,0.0210164978344558,0.0176380618877743,0.025708444734467498
Serbia,0.23444950847699889,-0.19917173415600642,0.10771810998284374,-0.18399695153514156
Seychelles,0.20499346713000097,0.16723747182238125,-0.40622968134154386,-0.19045761514757
Sierra Leone,-0.6760219880914472,0.16386376505694994,0.44256666923780863,-0.1673829606564356
Singapore,0.7668282160875242,0.7964669871825422,-0.6016968545344249,-0.27176709110438774
Slovak Republic,0.34875375900775796,0.05578673392153237,-0.06391599881815584,-0.21478593922812225
Slovenia,0.3978660221374692,0.030106082544042085,0.041021590881932884,-0.1285593712693742
Solomon Islands,-0.2035514970429371,0.08402392752351306,-0.004575235731484487,-0.2572633820559643
South Africa,-0.17039397451706378,-0.06562958380303693,0.13784952660875194,-0.07807532596991709
South Korea,0.38683718231213177,-0.07002891532342023,-0.03525456209898661,0.02479509479885333
Spain,0.4174883932932085,-0.11376678225969608,0.20419030435334942,0.06670051059482439
Sri Lanka,0.03586661233015072,-0.27186493117024946,-0.1872040402826366,0.17458341473758657
St. Vincent and the Grenadines,0.06481523981896571,-0.14862156252919223,-0.1587205251653977,-0.019005151971918603
Sudan,-0.41545882116552085,-0.039013568885155205,0.0930128725121384,0.13320793103952572
Suriname,0.05478632945158537,-0.0665415675168498,-0.031869806184247444,-0.025548208974855807
Sweden,0.4800692926133339,0.13286984330786217,0.22882072191358577,0.10741624347102526
Switzerland,0.6647561884795671,0.3247404186967387,0.3249174037869774,0.07987612589751272
Tajikistan,-0.19553566501011266,-0.0867524124989389,-0.03444314933625772,-0.046951509205786474
Tanzania,-0.507028918614955,0.021660230121664875,0.07338396401068144,0.06994740803101529
Thailand,0.20256840955468988,-0.09480520870875568,-0.2888293946112777,-0.044243606741575625
Timor-Leste,-0.45369893973635805,0.0027604827472525115,0.27772018814841404,0.08762075965057224
Togo,-0.4553435949145307,0.13084639450962723,0.058548539583451485,-0.13453129707983513
Tonga,-0.13345911250920797,-0.09453803632062158,-0.06816898960912887,-0.01506755721843432
Tunisia,0.13881161533109562,-0.11554703504078677,-0.12157826070879856,-0.07951106287010931
Turkey,0.14686767405707804,-0.19803881722312688,0.03804618424867515,0.08870624356200724
Turkmenistan,-0.11434334945248664,0.03560217562642522,-0.29269578598269663,0.047529026957991855
Uganda,-0.5931654277624746,0.08399249267325581,0.2457372266113952,-0.008115918385199778
Ukraine,0.1509336107680629,-0.17362956804131388,-0.0672556980886213,-0.1410659677011886
United Arab Emirates,0.39513640329229843,0.22655270784162132,-0.21230773055550586,0.1873726248748226
United Kingdom,0.3908949123765818,-0.010558183946246597,0.23793784808247379,0.09571322292397244
United States,0.48361207474742385,0.035296683126138075,0.7328871925888828,-0.03749257089457036
Uruguay,0.1796987401723983,-0.18833359698213714,0.1027437655010311,0.020524000626712363
Uzbekistan,-0.05658193011274112,-0.19450310374846624,-0.06239806228759821,0.027204481237915367
Vanuatu,-0.16007838094623034,-0.02962471851414704,-0.12190951118482123,-0.06609933428226475
Venezuela,0.06113318568400316,-0.17133915643467426,-0.058586041475844695,0.2474595459123346
Vietnam,0.11551227800655793,-0.03203380766647117,-0.1952430070697936,-0.2319928778385782
Yemen,-0.3329682454570163,-0.01982430283577397,-0.029989028279535708,0.10541565202155297
Zambia,-0.5738966875202653,0.10878813658955855,0.032552320344114184,0.044839184757854526
